歌单名,简介,歌曲名,艺人名,推荐语
,,Sing,"Ed Sheeran",
,,Stitches,"Shawn Mendes",
,,Oops,"Little Mix / Charlie Puth",
,,Whistle,"Flo Rida",
,,Shutterbug,Glenna,
,,"New Rules","Dua Lipa",
,,"Coming Home","Diddy-Dirty Money / Skylar Grey",
,,"Tell Me Why","Will Smith",
,,"Just A Dream",Nelly,
,,"Go Girl",Pitbull,
,,"Life Goes On",2Pac,
,,"Tonight I Wanna Cry","Keith Urban",
,,"Blue Ain't Your Color","Keith Urban",
,,"Humble and Kind","Tim McGraw",
,,"Sucker For Pain","Lil Wayne / Wiz Khalifa / Imagine Dragons / Ty Dolla $ign / X Ambassadors / Logic",
,,"We Don't Talk Anymore","Charlie Puth / Selena Gomez",
,,"Cold Water","Major Lazer / MØ / Justin Bieber",
,,"Cheap Thrills","Sia / Sean Paul",
,,"7 Years","Lukas Graham",
,,"Sign of the Times","Harry Styles",
,,Broccoli,"DRAM / Lil Yachty",
,,Stay,"Zedd / Alessia Cara",
,,"Dancing Queen","Meryl Streep / Julie Walters",
,,"Love Yourself","Justin Bieber",
,,"Scarborough Fair","Sarah Brightman",
,,"We Don't Talk Anymore (Heyder Remix)","Heyder / Selena Gomez / Charlie Puth",
,,"The Sound of Silence","Simon & Garfunkel",
,,"Unchained Melody","The Righteous Brothers",
,,Casablanca,"Bertie Higgins",
,,Lady,"Kenny Rogers",
,,Memory,"Elaine Paige",
,,Reality,"Richard Sanderson",
,,"Lemon Tree",王若琳,
,,"More Than I Can Say","Leo Sayer",
,,Lonely,Nana,
,,"You Won't Let Me","Rachael Yamagata",
,,"In the End","Linkin Park",
,,"21 Guns","Green Day",
,,Don't,"Ed Sheeran",
,,"Waka Waka (This Time for Africa)","Freshlyground / Shakira",
,,"The Cup of Life","Ricky Martin",
,,"When You Say Nothing at All","Alison Krauss",
,,Hero,"Enrique Iglesias",
,,"stuttering ","Fefe Dobson",
,,"Love Runs Out",OneRepublic,
,,Attention,"Charlie Puth",
,,"i hate u i love u","gnash / Olivia O'Brien",
,,"Bye Bye Bye",Lovestoned,
,,"God is a Girl (Album Version)","Groove Coverage",
,,"Big Big World  ",Emilia,
,,"Me and My Broken Heart","Push Baby",
,,"Wrecking Ball","Miley Cyrus",
,,Burning,"Maria Arredondo",
,,"Call Me Maybe","Carly Rae Jepsen",
,,"Scarborough Fair","Sarah Brightman",
,,She,"Groove Coverage",
,,Sorry,"Justin Bieber",
,,"Marry You","Bruno Mars",
,,"Need You Now (Single Version)","Lady Antebellum",
,,"Nothing's Gonna Change My Love For You",方大同,
,,"Diamonds & Rust","Joan Baez",
,,"Shape of You","Ed Sheeran",
,,"Who Let the Dogs Out","Baha Men",
,,"Be Be Your Love","Rachael Yamagata",
,,Duet,"Rachael Yamagata / Ray LaMontagne",
,,"Dark Side","Phoebe Ryan",
,,So:Lo,"Kate Havnevik",
,,"Side To Side","Ariana Grande",
,,"That Girl","Olly Murs",
,,HandClap,"Fitz and The Tantrums",
,,"Mi Gente","J Balvin / Willy William / Beyoncé",
,,"Sketch Plane","Cam Kelley",
,,"What Are Words","Chris Medina",
,,Perfect,"Ed Sheeran",
,,"Rising Girl (Radio Version)",Lovestoned,
,,"Thursdays (Single Version)",Lovestoned,
,,Invitation,Lovestoned,
,,"We Are Young","Janelle Monáe / Fun.",
,,"Traveling Light","Joel Hanson / Sara Groves",
,,E.T.,"Katy Perry",
,,"To Make You Feel My Love ","Jon Peter Lewis ",
,,"The Day You Went Away",M2M,
,,"I Don't Wanna Live Forever (Fifty Shades Darker)","Taylor Swift / ZAYN",
,,"... Ready For It?","Taylor Swift",
,,"Booty Music","Deep Side",
,,"Missin' You Like Crazy","Us The Duo",
,,"Dream It Possible",Delacey,
,,"Dark Horse","Juicy J / Katy Perry",
,,"Chained To The Rhythm","Katy Perry / Skip Marley",
,,"Call Out My Name","The Weeknd",
,,Toxic,"Britney Spears",
,,"Tangled Up","Caro Emerald",
,,"Don't Let Me Down","The Chainsmokers / Daya",
